src_value,dst_value
60,2
67,2
32,6
49,2
81,4
7,5
21,4
26,6
32,6
63,5
76,2
16,2
63,5
15,4
29,2
76,2
28,2
88,4
19,2
71,2
48,2
21,4
7,5
63,5
63,5
44,2
34,4
34,4
15,4
63,5
33,4
32,6
49,2
49,2
44,2
23,2
88,4
62,5
29,2
29,2
49,2
33,4
7,5
44,2
58,4
58,4
49,2
17,2
49,2
16,2
19,2
19,2
81,4
81,4
50,2
18,4
68,2
15,4
48,2
58,4
7,5
15,4
62,5
79,2
77,2
28,2
15,4
45,4
59,2
33,4
59,2
88,4
49,2
36,7
11,4
60,2
49,2
34,4
79,2
16,2
18,4
88,4
67,2
15,4
2,5
28,2
63,5
63,5
21,4
40,7
83,7
42,7
31,7
59,2
67,2
17,2
28,2
39,7
40,7
58,4
39,7
44,2
18,4
44,2
30,4
30,4
28,2
28,2
83,7
88,4
15,4
21,4
4,5
11,4
19,2
25,4
5,1
47,7
49,2
49,2
77,2
32,6
16,2
16,2
88,4
29,2
7,5
48,2
81,4
13,4
68,2
21,4
21,4
19,2
16,2
67,2
46,4
88,4
73,2
16,2
16,2
8,7
39,7
21,4
18,4
29,2
88,4
88,4
63,5
59,2
44,2
30,4
51,7
67,2
7,5
2,5
15,4
83,7
58,4
28,2
18,4
18,4
60,2
19,2
49,2
75,2
83,7
83,7
40,7
15,4
66,4
23,2
34,4
28,2
66,4
50,2
32,6
5,1
2,5
44,2
44,2
27,7
17,2
19,2
68,2
30,4
31,7
34,4
66,4
11,4
21,4
83,7
45,4
28,2
33,4
30,4
82,4
76,2
33,4
29,2
34,4
2,5
23,2
88,4
51,7
30,4
75,2
1,5
16,2
2,5
45,4
45,4
63,5
63,5
29,2
45,4
83,7
75,2
44,2
30,4
42,7
18,4
7,5
15,4
69,2
69,2
27,7
29,2
4,5
48,2
25,4
37,7
9,4
5,1
2,5
76,2
31,7
82,4
37,7
88,4
41,7
83,7
16,2
24,7
1,5
9,4
88,4
25,4
28,2
28,2
48,2
26,6
3,5
20,2
1,5
76,2
11,4
11,4
45,4
17,2
29,2
17,2
59,2
23,2
23,2
23,2
23,2
61,7
40,7
60,2
33,4
64,6
28,2
60,2
27,7
66,4
66,4
28,2
36,7
27,7
6,7
65,2
42,7
18,4
41,7
48,2
59,2
88,4
49,2
49,2
64,6
47,7
79,2
1,5
63,5
41,7
34,4
88,4
43,7
47,7
82,4
11,4
41,7
44,2
39,7
58,4
21,4
41,7
42,7
23,2
88,4
68,2
21,4
77,2
58,4
43,7
49,2
59,2
59,2
41,7
41,7
74,2
74,2
82,4
18,4
18,4
61,7
41,7
6,7
15,4
15,4
58,4
30,4
26,6
71,2
19,2
33,4
29,2
28,2
48,2
21,4
42,7
37,7
66,4
19,2
62,5
49,2
43,7
28,2
39,7
76,2
4,5
32,6
44,2
44,2
30,4
84,6
47,7
49,2
49,2
61,7
61,7
6,7
23,2
66,4
43,7
25,4
39,7
30,4
24,7
1,5
42,7
34,4
34,4
34,4
27,7
88,4
43,7
34,4
3,5
38,7
15,4
62,5
32,6
18,4
27,7
36,7
71,2
7,5
36,7
42,7
63,5
33,4
47,7
15,4
30,4
18,4
63,5
18,4
7,5
34,4
84,6
84,6
61,7
61,7
33,4
29,2
52,3
50,2
28,2
77,2
49,2
26,6
19,2
19,2
1,5
25,4
31,7
19,2
24,7
24,7
49,2
49,2
22,3
49,2
82,4
32,6
32,6
51,7
33,4
88,4
88,4
51,7
50,2
73,2
16,2
26,6
65,2
8,7
31,7
83,7
42,7
16,2
16,2
16,2
33,4
48,2
48,2
23,2
66,4
58,4
19,2
11,4
34,4
25,4
2,5
20,2
61,7
61,7
88,4
10,4
63,5
46,4
63,5
60,2
83,7
36,7
81,4
44,2
39,7
22,3
66,4
49,2
49,2
65,2
42,7
37,7
88,4
24,7
15,4
15,4
43,7
17,2
39,7
21,4
49,2
11,4
16,2
16,2
27,7
27,7
74,2
83,7
61,7
43,7
61,7
45,4
45,4
21,4
40,7
3,5
72,2
28,2
17,2
42,7
42,7
13,4
11,4
2,5
23,2
62,5
21,4
21,4
21,4
41,7
18,4
36,7
62,5
28,2
65,2
23,2
20,2
58,4
18,4
66,4
58,4
58,4
13,4
38,7
21,4
71,2
41,7
34,4
34,4
34,4
50,2
59,2
21,4
43,7
62,5
3,5
39,7
62,5
33,4
68,2
68,2
23,2
45,4
50,2
25,4
25,4
74,2
51,7
51,7
10,4
25,4
73,2
18,4
20,2
5,1
1,5
36,7
50,2
42,7
27,7
82,4
83,7
77,2
67,2
79,2
38,7
15,4
59,2
21,4
7,5
7,5
77,2
6,7
80,2
19,2
34,4
40,7
50,2
30,4
38,7
42,7
63,5
42,7
30,4
88,4
66,4
19,2
39,7
51,7
8,7
71,2
71,2
20,2
20,2
29,2
88,4
88,4
88,4
31,7
45,4
51,7
48,2
47,7
79,2
30,4
21,4
73,2
42,7
42,7
6,7
23,2
29,2
30,4
31,7
32,6
3,5
71,2
71,2
71,2
71,2
20,2
50,2
20,2
42,7
50,2
88,4
88,4
43,7
13,4
13,4
47,7
63,5
27,7
63,5
59,2
48,2
41,7
42,7
40,7
15,4
76,2
42,7
61,7
75,2
39,7
19,2
26,6
61,7
71,2
10,4
10,4
10,4
73,2
73,2
32,6
1,5
33,4
70,2
88,4
72,2
18,4
19,2
59,2
19,2
78,2
63,5
27,7
19,2
16,2
49,2
25,4
23,2
10,4
88,4
59,2
8,7
8,7
49,2
50,2
23,2
15,4
88,4
38,7
59,2
21,4
18,4
27,7
5,1
6,7
34,4
10,4
19,2
70,2
66,4
49,2
21,4
21,4
62,5
62,5
62,5
27,7
27,7
49,2
28,2
20,2
20,2
32,6
51,7
27,7
83,7
68,2
73,2
73,2
31,7
48,2
42,7
82,4
62,5
17,2
82,4
25,4
67,2
71,2
71,2
5,1
48,2
63,5
9,4
7,5
18,4
33,4
32,6
27,7
4,5
59,2
78,2
31,7
16,2
31,7
58,4
31,7
32,6
20,2
65,2
13,4
27,7
6,7
31,7
48,2
88,4
88,4
88,4
31,7
25,4
76,2
32,6
19,2
1,5
43,7
41,7
18,4
51,7
61,7
16,2
61,7
23,2
81,4
10,4
25,4
24,7
19,2
70,2
62,5
51,7
44,2
49,2
61,7
63,5
63,5
42,7
38,7
28,2
88,4
43,7
45,4
10,4
10,4
33,4
27,7
82,4
15,4
51,7
44,2
70,2
81,4
42,7
25,4
2,5
36,7
36,7
49,2
75,2
61,7
19,2
7,5
43,7
24,7
83,7
23,2
79,2
10,4
34,4
13,4
5,1
40,7
40,7
79,2
7,5
7,5
63,5
30,4
28,2
63,5
88,4
29,2
29,2
27,7
27,7
42,7
27,7
63,5
27,7
42,7
21,4
59,2
18,4
88,4
31,7
34,4
1,5
74,2
33,4
39,7
15,4
15,4
7,5
59,2
59,2
59,2
59,2
40,7
82,4
12,4
31,7
46,4
4,5
23,2
51,7
42,7
49,2
49,2
49,2
38,7
43,7
15,4
60,2
18,4
16,2
30,4
66,4
38,7
40,7
25,4
49,2
11,4
27,7
41,7
58,4
2,5
10,4
34,4
67,2
23,2
16,2
88,4
33,4
42,7
33,4
43,7
17,2
7,5
11,4
49,2
31,7
78,2
16,2
15,4
2,5
49,2
21,4
34,4
19,2
79,2
29,2
11,4
17,2
41,7
71,2
77,2
20,2
9,4
13,4
46,4
79,2
29,2
19,2
41,7
21,4
48,2
48,2
37,7
67,2
67,2
26,6
44,2
27,7
31,7
26,6
63,5
31,7
7,5
36,7
18,4
61,7
61,7
15,4
88,4
6,7
18,4
29,2
6,7
79,2
78,2
13,4
41,7
41,7
48,2
48,2
30,4
33,4
2,5
81,4
20,2
40,7
40,7
20,2
51,7
75,2
47,7
82,4
28,2
19,2
25,4
16,2
45,4
38,7
69,2
34,4
23,2
30,4
29,2
65,2
24,7
17,2
2,5
36,7
5,1
2,5
2,5
30,4
84,6
21,4
84,6
19,2
19,2
19,2
49,2
42,7
82,4
79,2
51,7
51,7
18,4
60,2
27,7
65,2
68,2
24,7
51,7
30,4
7,5
8,7
7,5
24,7
43,7
13,4
28,2
16,2
60,2
60,2
19,2
65,2
81,4
28,2
45,4
45,4
32,6
42,7
41,7
25,4
19,2
1,5
59,2
59,2
69,2
19,2
29,2
45,4
37,7
62,5
62,5
42,7
17,2
39,7
27,7
63,5
42,7
1,5
79,2
21,4
88,4
48,2
41,7
64,6
63,5
42,7
84,6
18,4
66,4
37,7
30,4
49,2
88,4
62,5
27,7
49,2
48,2
41,7
66,4
47,7
10,4
82,4
88,4
49,2
49,2
49,2
1,5
60,2
5,1
48,2
18,4
18,4
1,5
69,2
44,2
50,2
2,5
19,2
16,2
80,2
63,5
22,3
66,4
82,4
79,2
79,2
34,4
7,5
79,2
49,2
84,6
82,4
15,4
18,4
49,2
49,2
16,2
63,5
63,5
44,2
71,2
15,4
45,4
16,2
4,5
60,2
66,4
1,5
88,4
2,5
67,2
60,2
4,5
28,2
58,4
59,2
79,2
19,2
68,2
19,2
34,4
71,2
25,4
12,4
65,2
88,4
58,4
19,2
4,5
19,2
60,2
21,4
34,4
58,4
58,4
29,2
19,2
28,2
39,7
42,7
61,7
83,7
80,2
83,7
44,2
59,2
16,2
13,4
82,4
23,2
19,2
42,7
17,2
31,7
26,6
41,7
29,2
23,2
74,2
88,4
7,5
26,6
30,4
24,7
22,3
6,7
88,4
88,4
34,4
88,4
25,4
46,4
47,7
47,7
82,4
27,7
69,2
42,7
84,6
78,2
45,4
17,2
88,4
33,4
65,2
68,2
44,2
32,6
40,7
31,7
22,3
22,3
6,7
7,5
42,7
31,7
28,2
77,2
77,2
73,2
84,6
7,5
7,5
7,5
24,7
3,5
1,5
43,7
74,2
16,2
75,2
67,2
88,4
63,5
47,7
88,4
45,4
66,4
4,5
42,7
79,2
21,4
83,7
21,4
15,4
11,4
84,6
61,7
70,2
70,2
47,7
65,2
65,2
79,2
79,2
70,2
75,2
58,4
18,4
28,2
63,5
3,5
12,4
1,5
60,2
72,2
16,2
18,4
52,3
48,2
27,7
44,2
61,7
88,4
45,4
45,4
23,2
40,7
34,4
52,3
52,3
88,4
11,4
37,7
1,5
19,2
49,2
49,2
2,5
88,4
88,4
61,7
25,4
31,7
8,7
17,2
34,4
49,2
42,7
21,4
6,7
20,2
66,4
30,4
43,7
43,7
71,2
71,2
37,7
62,5
60,2
2,5
2,5
39,7
41,7
8,7
58,4
58,4
31,7
68,2
19,2
25,4
48,2
1,5
4,5
41,7
48,2
48,2
88,4
16,2
58,4
43,7
61,7
27,7
88,4
71,2
27,7
10,4
24,7
60,2
30,4
44,2
81,4
19,2
66,4
31,7
23,2
71,2
47,7
27,7
71,2
71,2
67,2
75,2
32,6
59,2
65,2
30,4
82,4
66,4
44,2
83,7
44,2
60,2
25,4
88,4
58,4
19,2
12,4
33,4
6,7
75,2
77,2
59,2
75,2
59,2
84,6
58,4
34,4
21,4
63,5
31,7
34,4
43,7
63,5
18,4
31,7
88,4
23,2
2,5
16,2
27,7
27,7
27,7
27,7
82,4
41,7
22,3
43,7
43,7
34,4
60,2
84,6
61,7
39,7
21,4
82,4
17,2
63,5
43,7
18,4
18,4
15,4
36,7
2,5
71,2
88,4
79,2
25,4
49,2
25,4
23,2
42,7
61,7
81,4
66,4
66,4
66,4
65,2
63,5
21,4
30,4
18,4
20,2
59,2
30,4
62,5
88,4
50,2
31,7
22,3
19,2
34,4
50,2
16,2
88,4
25,4
61,7
42,7
51,7
3,5
3,5
30,4
38,7
18,4
8,7
51,7
49,2
76,2
24,7
1,5
21,4
73,2
60,2
71,2
1,5
5,1
59,2
62,5
16,2
17,2
78,2
31,7
61,7
25,4
3,5
31,7
73,2
23,2
74,2
60,2
24,7
30,4
12,4
51,7
26,6
27,7
9,4
49,2
60,2
49,2
42,7
63,5
81,4
34,4
46,4
37,7
73,2
3,5
19,2
16,2
21,4
66,4
42,7
78,2
34,4
31,7
28,2
67,2
15,4
88,4
27,7
83,7
78,2
33,4
27,7
29,2
45,4
16,2
51,7
34,4
43,7
1,5
22,3
32,6
80,2
24,7
82,4
27,7
28,2
21,4
47,7
30,4
33,4
82,4
18,4
36,7
45,4
39,7
13,4
23,2
24,7
50,2
26,6
31,7
45,4
52,3
88,4
69,2
78,2
75,2
46,4
16,2
49,2
42,7
73,2
19,2
30,4
75,2
21,4
8,7
84,6
77,2
66,4
28,2
28,2
28,2
28,2
28,2
28,2
28,2
28,2
28,2
28,2
40,7
19,2
30,4
33,4
26,6
44,2
3,5
43,7
25,4
43,7
19,2
65,2
20,2
71,2
3,5
81,4
27,7
16,2
65,2
42,7
59,2
66,4
81,4
34,4
63,5
66,4
44,2
33,4
62,5
62,5
19,2
88,4
23,2
47,7
63,5
18,4
60,2
21,4
15,4
41,7
1,5
31,7
34,4
21,4
30,4
41,7
48,2
15,4
62,5
58,4
44,2
26,6
88,4
39,7
39,7
28,2
45,4
33,4
33,4
78,2
25,4
16,2
59,2
33,4
63,5
63,5
48,2
44,2
84,6
30,4
26,6
2,5
88,4
88,4
19,2
13,4
48,2
42,7
44,2
44,2
12,4
88,4
39,7
88,4
10,4
1,5
81,4
65,2
65,2
65,2
69,2
16,2
16,2
16,2
16,2
26,6
20,2
19,2
2,5
69,2
30,4
4,5
30,4
16,2
82,4
16,2
36,7
16,2
49,2
42,7
16,2
41,7
43,7
82,4
52,3
77,2
59,2
77,2
60,2
19,2
15,4
3,5
11,4
32,6
29,2
75,2
27,7
27,7
39,7
21,4
88,4
88,4
88,4
2,5
71,2
25,4
66,4
59,2
16,2
88,4
61,7
61,7
61,7
61,7
61,7
67,2
71,2
33,4
17,2
47,7
8,7
11,4
3,5
71,2
2,5
60,2
60,2
60,2
60,2
33,4
17,2
48,2
34,4
44,2
45,4
33,4
33,4
21,4
15,4
59,2
32,6
1,5
4,5
77,2
62,5
61,7
69,2
25,4
7,5
70,2
28,2
25,4
59,2
50,2
17,2
46,4
75,2
75,2
75,2
30,4
63,5
63,5
2,5
78,2
33,4
3,5
15,4
40,7
49,2
1,5
49,2
21,4
61,7
61,7
20,2
44,2
46,4
45,4
33,4
20,2
20,2
20,2
2,5
39,7
27,7
49,2
61,7
48,2
15,4
51,7
21,4
16,2
64,6
43,7
63,5
52,3
24,7
24,7
2,5
20,2
43,7
29,2
7,5
66,4
68,2
65,2
63,5
88,4
21,4
28,2
31,7
78,2
16,2
3,5
42,7
32,6
62,5
62,5
36,7
25,4
69,2
28,2
50,2
23,2
16,2
22,3
63,5
7,5
30,4
84,6
60,2
10,4
63,5
58,4
63,5
81,4
66,4
47,7
4,5
49,2
59,2
63,5
16,2
16,2
30,4
30,4
16,2
46,4
48,2
15,4
19,2
41,7
49,2
75,2
30,4
49,2
49,2
37,7
88,4
49,2
23,2
67,2
49,2
84,6
7,5
70,2
3,5
23,2
44,2
40,7
30,4
41,7
36,7
43,7
2,5
20,2
62,5
2,5
39,7
88,4
21,4
7,5
31,7
61,7
51,7
51,7
36,7
27,7
61,7
32,6
36,7
51,7
88,4
31,7
34,4
1,5
47,7
49,2
81,4
88,4
42,7
8,7
27,7
25,4
37,7
27,7
27,7
24,7
15,4
68,2
15,4
88,4
17,2
2,5
50,2
88,4
61,7
69,2
1,5
63,5
51,7
28,2
8,7
88,4
88,4
83,7
76,2
16,2
34,4
25,4
42,7
45,4
60,2
51,7
84,6
60,2
63,5
45,4
2,5
16,2
30,4
33,4
1,5
52,3
63,5
41,7
83,7
25,4
33,4
83,7
31,7
78,2
77,2
77,2
24,7
32,6
5,1
41,7
41,7
43,7
7,5
67,2
49,2
73,2
49,2
47,7
21,4
21,4
21,4
31,7
47,7
32,6
10,4
79,2
17,2
63,5
63,5
3,5
88,4
51,7
61,7
61,7
61,7
61,7
18,4
27,7
48,2
76,2
71,2
74,2
16,2
68,2
25,4
25,4
25,4
16,2
16,2
74,2
7,5
48,2
69,2
69,2
2,5
18,4
15,4
15,4
73,2
66,4
66,4
9,4
76,2
88,4
81,4
64,6
45,4
45,4
63,5
15,4
52,3
19,2
58,4
15,4
15,4
77,2
49,2
48,2
30,4
88,4
19,2
33,4
76,2
76,2
45,4
50,2
60,2
7,5
7,5
7,5
72,2
29,2
11,4
69,2
18,4
11,4
18,4
69,2
25,4
63,5
88,4
2,5
83,7
68,2
42,7
64,6
25,4
27,7
3,5
20,2
43,7
21,4
1,5
39,7
15,4
49,2
49,2
64,6
68,2
12,4
43,7
45,4
42,7
36,7
58,4
25,4
25,4
28,2
48,2
11,4
33,4
49,2
18,4
84,6
49,2
61,7
2,5
82,4
71,2
50,2
11,4
45,4
88,4
80,2
31,7
20,2
88,4
21,4
8,7
73,2
43,7
25,4
27,7
68,2
20,2
71,2
49,2
51,7
88,4
88,4
66,4
42,7
18,4
41,7
52,3
9,4
21,4
21,4
59,2
36,7
16,2
32,6
70,2
1,5
51,7
60,2
21,4
28,2
4,5
66,4
34,4
41,7
19,2
33,4
31,7
64,6
64,6
52,3
15,4
25,4
22,3
51,7
43,7
45,4
67,2
43,7
2,5
78,2
39,7
17,2
16,2
16,2
10,4
76,2
8,7
84,6
28,2
27,7
27,7
50,2
64,6
20,2
43,7
5,1
51,7
48,2
15,4
82,4
5,1
5,1
30,4
7,5
8,7
10,4
48,2
5,1
5,1
5,1
16,2
23,2
33,4
15,4
13,4
16,2
69,2
31,7
47,7
34,4
63,5
29,2
28,2
31,7
42,7
58,4
18,4
43,7
60,2
15,4
31,7
41,7
50,2
25,4
29,2
26,6
11,4
16,2
32,6
88,4
18,4
44,2
19,2
19,2
51,7
58,4
76,2
16,2
19,2
40,7
76,2
33,4
43,7
63,5
58,4
32,6
79,2
49,2
9,4
18,4
27,7
16,2
21,4
31,7
66,4
34,4
17,2
17,2
36,7
63,5
24,7
25,4
44,2
3,5
37,7
31,7
22,3
79,2
18,4
43,7
28,2
83,7
16,2
33,4
19,2
44,2
32,6
17,2
31,7
18,4
6,7
24,7
40,7
42,7
9,4
41,7
48,2
7,5
58,4
11,4
19,2
39,7
65,2
59,2
83,7
42,7
42,7
59,2
61,7
30,4
24,7
28,2
41,7
88,4
75,2
75,2
75,2
75,2
75,2
59,2
2,5
43,7
2,5
2,5
58,4
59,2
88,4
30,4
13,4
39,7
61,7
18,4
34,4
34,4
28,2
77,2
20,2
27,7
49,2
83,7
83,7
45,4
31,7
9,4
41,7
5,1
52,3
52,3
77,2
49,2
32,6
45,4
22,3
88,4
7,5
31,7
88,4
26,6
26,6
26,6
41,7
71,2
30,4
7,5
66,4
34,4
16,2
88,4
76,2
49,2
30,4
27,7
63,5
81,4
52,3
6,7
52,3
18,4
2,5
48,2
31,7
2,5
79,2
82,4
40,7
52,3
52,3
18,4
37,7
23,2
40,7
19,2
82,4
6,7
39,7
66,4
21,4
82,4
82,4
46,4
61,7
15,4
24,7
29,2
42,7
21,4
88,4
30,4
81,4
59,2
63,5
61,7
32,6
25,4
43,7
52,3
52,3
7,5
36,7
42,7
22,3
42,7
77,2
1,5
30,4
33,4
27,7
71,2
83,7
71,2
63,5
88,4
43,7
48,2
26,6
61,7
80,2
39,7
42,7
11,4
88,4
9,4
18,4
59,2
15,4
52,3
59,2
15,4
42,7
24,7
72,2
45,4
18,4
15,4
26,6
21,4
47,7
63,5
36,7
43,7
31,7
66,4
88,4
20,2
41,7
8,7
23,2
43,7
28,2
32,6
15,4
31,7
76,2
33,4
33,4
39,7
17,2
60,2
22,3
36,7
42,7
32,6
21,4
30,4
88,4
29,2
42,7
52,3
34,4
15,4
6,7
2,5
58,4
22,3
20,2
48,2
65,2
24,7
72,2
18,4
5,1
43,7
83,7
63,5
2,5
17,2
16,2
25,4
52,3
6,7
31,7
43,7
39,7
21,4
40,7
24,7
42,7
21,4
13,4
73,2
19,2
33,4
28,2
66,4
63,5
43,7
24,7
12,4
31,7
18,4
28,2
73,2
18,4
84,6
84,6
22,3
62,5
43,7
33,4
33,4
49,2
49,2
27,7
25,4
49,2
49,2
49,2
88,4
82,4
13,4
52,3
51,7
68,2
32,6
34,4
18,4
88,4
88,4
5,1
88,4
32,6
30,4
51,7
27,7
28,2
84,6
67,2
27,7
66,4
33,4
23,2
22,3
11,4
5,1
66,4
3,5
43,7
58,4
34,4
34,4
48,2
31,7
5,1
82,4
59,2
25,4
34,4
34,4
30,4
30,4
30,4
67,2
28,2
88,4
1,5
1,5
65,2
28,2
31,7
46,4
34,4
44,2
30,4
30,4
33,4
83,7
17,2
34,4
32,6
29,2
43,7
26,6
49,2
5,1
27,7
88,4
76,2
71,2
15,4
26,6
26,6
15,4
36,7
2,5
52,3
11,4
34,4
11,4
2,5
49,2
19,2
69,2
1,5
62,5
27,7
44,2
24,7
77,2
22,3
66,4
70,2
52,3
5,1
20,2
19,2
33,4
8,7
62,5
39,7
7,5
23,2
51,7
51,7
80,2
83,7
6,7
84,6
44,2
34,4
34,4
60,2
84,6
36,7
