fatality_sk,age
1,74
2,19
3,33
4,32
5,61
6,47
7,29
8,19
9,55
10,45
11,50
12,45
13,61
14,74
15,25
16,4
17,27
18,66
19,27
20,65
21,32
22,25
23,69
24,59
25,68
26,69
27,68
28,76
29,35
30,55
31,63
32,66
33,61
34,30
35,34
36,26
37,46
38,50
39,85
40,92
41,76
42,60
43,74
44,26
45,60
46,59
47,45
48,90
49,32
50,49
51,21
52,21
53,16
54,22
55,21
56,23
57,80
58,23
59,64
60,17
61,71
62,66
63,60
64,54
65,18
66,24
67,27
68,38
69,97
70,83
71,49
72,36
73,70
74,29
75,26
76,43
77,61
78,52
79,22
80,53
81,44
82,57
83,18
84,18
85,53
86,25
87,44
88,64
89,17
90,43
91,83
92,71
93,69
94,87
95,58
96,45
97,43
98,38
99,15
100,27
101,63
102,38
103,36
104,47
105,78
106,19
107,76
108,23
109,78
110,25
111,29
112,37
113,71
114,18
115,42
116,15
117,26
118,21
119,60
120,57
121,30
122,36
123,48
124,60
125,68
126,66
127,65
128,19
129,20
130,35
131,28
132,45
133,30
134,70
135,31
136,62
137,69
138,83
139,51
140,37
141,66
142,76
143,55
144,31
145,60
146,56
147,55
148,82
149,43
150,66
151,21
152,56
153,29
154,75
155,53
156,32
157,31
158,42
159,40
160,56
161,40
162,13
163,64
164,24
165,27
166,37
167,81
168,80
169,21
170,39
171,27
172,54
173,17
174,76
175,19
176,55
177,44
178,28
179,91
180,45
181,11
182,53
183,63
184,62
185,43
186,73
187,24
188,46
189,48
190,69
191,30
192,37
193,51
194,46
195,73
196,78
197,73
198,74
199,20
200,18
201,27
202,27
203,14
204,37
205,53
206,41
207,27
208,48
209,34
210,22
211,58
212,68
213,5
214,15
215,37
216,56
217,20
218,21
219,30
220,35
221,2
222,59
223,76
224,76
225,51
226,44
227,34
228,77
229,19
230,65
231,21
232,27
233,21
234,33
235,19
236,49
237,34
238,61
239,11
240,39
241,30
242,49
243,41
244,31
245,76
246,78
247,20
248,9
249,15
250,37
251,30
252,52
253,1
254,52
255,93
256,87
257,37
258,31
259,34
260,53
261,23
262,27
263,65
264,19
265,57
266,18
267,57
268,72
269,81
270,83
271,60
272,66
273,44
274,21
275,79
276,17
277,32
278,53
279,74
280,22
281,22
282,58
283,23
284,74
285,32
286,41
287,17
288,53
289,22
290,22
291,51
292,84
293,50
294,65
295,59
296,25
297,22
298,56
299,48
300,21
301,38
302,35
303,37
304,60
305,56
306,63
307,20
308,81
309,80
310,18
311,36
312,57
313,28
314,96
315,63
316,38
317,58
318,15
319,62
320,62
321,39
322,23
323,26
324,25
325,21
326,50
327,40
328,57
329,44
330,64
331,60
332,68
333,23
334,54
335,63
336,13
337,29
338,56
339,44
340,17
341,53
342,23
343,53
344,56
345,19
346,78
347,70
348,42
349,31
350,66
351,20
352,49
353,61
354,20
355,21
356,69
357,80
358,68
359,52
360,81
361,46
362,37
363,6
364,23
365,34
366,25
367,21
368,19
369,32
370,43
371,49
372,34
373,35
374,60
375,28
376,50
377,73
378,68
379,72
380,78
381,79
382,37
383,37
384,20
385,29
386,63
387,35
388,69
389,52
390,27
391,22
392,75
393,47
394,51
395,67
396,36
397,3
398,47
399,70
400,38
401,79
402,24
403,27
404,68
405,65
406,30
407,31
408,28
409,50
410,16
411,27
412,96
413,59
414,55
415,60
416,80
417,57
418,54
419,43
420,23
421,59
422,25
423,63
424,20
425,20
426,34
427,23
428,30
429,75
430,71
431,78
432,55
433,61
434,49
435,17
436,40
437,18
438,16
439,19
440,53
441,63
442,56
443,20
444,18
445,20
446,87
447,55
448,54
449,16
450,63
451,33
452,67
453,33
454,69
455,56
456,71
457,67
458,28
459,3
460,59
461,37
462,84
463,51
464,85
465,39
466,67
467,19
468,26
469,32
470,64
471,73
472,11
473,63
474,17
475,83
476,25
477,28
478,57
479,33
480,60
481,67
482,59
483,17
484,29
485,32
486,72
487,19
488,47
489,82
490,17
491,18
492,80
493,18
494,18
495,26
496,73
497,33
498,0
499,18
500,20
501,58
502,61
503,80
504,22
505,30
506,29
507,44
508,24
509,85
510,47
511,84
512,15
513,54
514,8
515,81
516,36
517,83
518,63
519,85
520,46
521,19
522,76
523,44
524,55
525,73
526,57
527,49
528,57
529,29
530,72
531,64
532,81
533,33
534,56
535,21
536,35
537,63
538,68
539,30
540,66
541,54
542,81
543,68
544,45
545,78
546,27
547,68
548,36
549,22
550,51
551,27
552,47
553,43
554,34
555,84
556,25
557,22
558,63
559,25
560,47
561,73
562,15
563,43
564,20
565,64
566,49
567,61
568,29
569,59
570,90
571,40
572,25
573,60
574,54
575,63
576,67
577,87
578,50
579,19
580,19
581,33
582,40
583,69
584,22
585,38
586,23
587,30
588,73
589,42
590,43
591,44
592,31
593,54
594,54
595,30
596,11
597,41
598,68
599,25
600,29
601,81
602,54
603,84
604,93
605,84
606,85
607,61
608,18
609,18
610,30
611,65
612,76
613,35
614,20
615,38
616,75
617,74
618,19
619,89
620,62
621,21
622,19
623,26
624,24
625,38
626,21
627,30
628,20
629,21
630,20
631,32
632,72
633,79
634,24
635,56
636,84
637,49
638,56
639,19
640,22
641,37
642,65
643,80
644,56
645,24
646,4
647,53
648,45
649,36
650,74
651,32
652,12
653,16
654,76
655,78
656,76
657,74
658,96
659,27
660,61
661,76
662,22
663,70
664,41
665,29
666,28
667,82
668,38
669,83
670,73
671,94
672,25
673,23
674,30
675,21
676,69
677,32
678,91
679,77
680,31
681,18
682,60
683,21
684,19
685,34
686,43
687,32
688,59
689,30
690,72
691,76
692,58
693,46
694,67
695,57
696,66
697,25
698,38
699,19
700,51
701,41
702,25
703,25
704,77
705,45
706,32
707,49
708,56
709,41
710,15
711,54
712,66
713,24
714,77
715,62
716,78
717,66
718,43
719,80
720,58
721,87
722,70
723,26
724,29
725,19
726,28
727,68
728,86
729,75
730,15
731,67
732,91
733,40
734,79
735,70
736,71
737,3
738,24
739,45
740,56
741,49
742,27
743,77
744,56
745,83
746,74
747,21
748,76
749,29
750,18
751,21
752,59
753,76
754,54
755,50
756,62
757,53
758,20
759,21
760,21
761,59
762,66
763,62
764,35
765,15
766,25
767,57
768,32
769,58
770,54
771,30
772,34
773,34
774,83
775,55
776,17
777,28
778,73
779,67
780,57
781,24
782,43
783,62
784,54
785,32
786,20
787,35
788,39
789,45
790,29
791,49
792,72
793,42
794,76
795,68
796,77
797,69
798,84
799,20
800,84
801,70
802,41
803,56
804,20
805,20
806,17
807,80
808,21
809,34
810,19
811,49
812,53
813,33
814,62
815,31
816,73
817,21
818,20
819,36
820,51
821,42
822,64
823,23
824,19
825,73
826,19
827,42
828,87
829,60
830,91
831,43
832,47
833,62
834,12
835,82
836,18
837,19
838,47
839,29
840,27
841,70
842,40
843,76
844,69
845,20
846,31
847,83
848,19
849,34
850,32
851,30
852,42
853,36
854,50
855,24
856,37
857,28
858,58
859,54
860,46
861,56
862,61
863,78
864,53
865,27
866,27
867,41
868,19
869,27
870,48
871,32
872,63
873,66
874,32
875,69
876,93
877,30
878,72
879,48
880,42
881,51
882,27
883,28
884,72
885,20
886,61
887,43
888,16
889,39
890,37
891,31
892,55
893,51
894,42
895,29
896,36
897,35
898,15
899,64
900,38
901,54
902,3
903,32
904,17
905,21
906,38
907,24
908,47
909,55
910,58
911,56
912,9
913,23
914,1
915,26
916,79
917,32
918,19
919,30
920,46
921,76
922,31
923,29
924,50
925,71
926,41
927,17
928,17
929,16
930,81
931,59
932,30
933,32
934,21
935,90
936,29
937,63
938,51
939,26
940,11
941,20
942,19
943,70
944,33
945,23
946,41
947,38
948,66
949,37
950,52
951,69
952,22
953,61
954,80
955,52
956,83
957,62
958,65
959,43
960,37
961,54
962,88
963,80
964,88
965,29
966,20
967,74
968,64
969,90
970,87
971,91
972,65
973,27
974,65
975,19
976,61
977,48
978,12
979,49
980,70
981,22
982,19
983,37
984,37
985,43
986,42
987,74
988,77
989,11
990,49
991,42
992,51
993,43
994,63
995,27
996,48
997,28
998,18
999,48
1000,56
1001,64
1002,59
1003,30
1004,29
1005,67
1006,80
1007,59
1008,25
1009,31
1010,26
1011,27
1012,26
1013,55
1014,40
1015,38
1016,49
1017,41
1018,44
1019,17
1020,24
1021,29
1022,31
1023,89
1024,41
1025,20
1026,71
1027,32
1028,18
1029,18
1030,23
1031,84
1032,58
1033,65
1034,92
1035,57
1036,48
1037,2
1038,87
1039,37
1040,73
1041,16
1042,35
1043,24
1044,79
1045,20
1046,38
1047,32
1048,65
1049,55
1050,85
1051,39
1052,47
1053,75
1054,85
1055,73
1056,18
1057,23
1058,41
1059,31
1060,77
1061,84
1062,54
1063,62
1064,72
1065,21
1066,24
1067,70
1068,70
1069,27
1070,25
1071,24
1072,53
1073,62
1074,30
1075,7
1076,52
1077,37
1078,25
1079,36
1080,26
1081,19
1082,85
1083,57
1084,67
1085,61
1086,18
1087,66
1088,62
1089,24
1090,14
1091,14
1092,40
1093,30
1094,63
1095,31
1096,39
1097,85
1098,35
1099,19
1100,14
1101,15
1102,54
1103,65
1104,77
1105,65
1106,83
1107,32
1108,38
1109,25
1110,62
1111,62
1112,82
1113,58
1114,37
1115,45
1116,30
1117,24
1118,26
1119,60
1120,20
1121,39
1122,57
1123,49
1124,28
1125,69
1126,55
1127,69
1128,47
1129,34
1130,18
1131,75
1132,73
1133,70
1134,65
1135,49
1136,19
1137,20
1138,38
1139,46
1140,25
1141,51
1142,25
1143,22
1144,45
1145,32
1146,5
1147,75
1148,55
1149,65
1150,44
1151,57
1152,65
1153,72
1154,88
1155,60
1156,18
1157,36
1158,82
1159,40
1160,51
1161,21
1162,52
1163,75
1164,16
1165,19
1166,22
1167,33
1168,71
1169,26
1170,59
1171,65
1172,32
1173,37
1174,35
1175,39
1176,30
1177,58
1178,78
1179,21
1180,27
1181,62
1182,52
1183,3
1184,16
1185,90
1186,70
1187,28
1188,21
1189,45
1190,40
1191,40
1192,67
1193,26
1194,52
1195,24
1196,64
1197,25
1198,58
1199,72
1200,60
1201,77
1202,69
1203,100
1204,75
1205,59
1206,65
1207,84
1208,54
1209,86
1210,19
1211,46
1212,28
1213,32
1214,52
1215,68
1216,13
1217,40
1218,47
1219,36
1220,32
1221,19
1222,72
1223,52
1224,73
1225,49
1226,84
1227,32
1228,31
1229,81
1230,51
1231,20
1232,70
1233,67
1234,29
1235,84
1236,64
1237,33
1238,32
1239,24
1240,15
1241,36
1242,37
1243,35
1244,25
1245,67
1246,72
1247,64
1248,84
1249,24
1250,24
1251,27
1252,80
1253,21
1254,48
1255,20
1256,39
1257,57
1258,76
1259,21
1260,49
1261,53
1262,63
1263,87
1264,71
1265,43
1266,41
1267,52
1268,34
1269,41
1270,45
1271,57
1272,55
1273,27
1274,20
1275,17
1276,19
1277,44
1278,25
1279,19
1280,18
1281,15
1282,45
1283,39
1284,26
1285,58
1286,51
1287,30
1288,12
1289,25
1290,17
1291,18
1292,17
1293,80
1294,76
1295,30
1296,70
1297,73
1298,53
1299,88
1300,73
1301,60
1302,37
1303,39
1304,25
1305,50
1306,65
1307,71
1308,84
1309,41
1310,25
1311,22
1312,19
1313,18
1314,42
1315,85
1316,49
1317,61
1318,67
1319,91
1320,55
1321,51
1322,27
1323,48
1324,45
1325,30
1326,48
1327,20
1328,78
1329,63
1330,32
1331,75
1332,44
1333,71
1334,28
1335,16
1336,9
1337,10
1338,21
1339,25
1340,36
1341,60
1342,22
1343,85
1344,78
1345,86
1346,86
1347,63
1348,20
1349,23
1350,17
1351,23
1352,29
1353,66
1354,65
1355,40
1356,83
1357,19
1358,23
1359,43
1360,43
1361,43
1362,38
1363,33
1364,46
1365,49
1366,85
1367,66
1368,67
1369,38
1370,28
1371,64
1372,53
1373,27
1374,37
1375,69
1376,25
1377,76
1378,69
1379,73
1380,73
1381,64
1382,49
1383,33
1384,26
1385,34
1386,74
1387,40
1388,25
1389,78
1390,62
1391,20
1392,69
1393,17
1394,17
1395,26
1396,41
1397,35
1398,28
1399,58
1400,32
1401,70
1402,42
1403,55
1404,80
1405,77
1406,86
1407,33
1408,35
1409,32
1410,18
1411,25
1412,65
1413,38
1414,26
1415,30
1416,73
1417,35
1418,51
1419,91
1420,62
1421,30
1422,28
1423,52
1424,14
1425,57
1426,31
1427,82
1428,29
1429,47
1430,32
1431,21
1432,40
1433,27
1434,84
1435,61
1436,68
1437,43
1438,19
1439,57
1440,52
1441,69
1442,33
1443,29
1444,24
1445,39
1446,44
1447,71
1448,24
1449,76
1450,29
1451,59
1452,18
1453,36
1454,53
1455,52
1456,68
1457,22
1458,57
1459,43
1460,73
1461,41
1462,71
1463,35
1464,17
1465,5
1466,58
1467,96
1468,79
1469,17
1470,65
1471,16
1472,58
1473,18
1474,20
1475,61
1476,88
1477,17
1478,52
1479,45
1480,47
1481,18
1482,76
1483,68
1484,67
1485,34
1486,23
1487,77
1488,39
1489,87
1490,59
1491,50
1492,19
1493,18
1494,83
1495,64
1496,32
1497,43
1498,60
1499,61
1500,34
1501,60
1502,20
1503,26
1504,74
1505,27
1506,24
1507,9
1508,37
1509,46
1510,74
1511,19
1512,73
1513,26
1514,65
1515,29
1516,65
1517,20
1518,33
1519,36
1520,19
1521,43
1522,26
1523,0
1524,77
1525,31
1526,44
1527,50
1528,78
1529,26
1530,28
1531,22
1532,27
1533,15
1534,54
1535,84
1536,52
1537,24
1538,31
1539,17
1540,23
1541,74
1542,33
1543,79
1544,66
1545,24
1546,80
1547,18
1548,43
1549,16
1550,30
1551,29
1552,21
1553,26
1554,29
1555,33
1556,52
1557,22
1558,29
1559,35
1560,86
1561,73
1562,82
1563,72
1564,51
1565,44
1566,82
1567,33
1568,25
1569,24
1570,85
1571,54
1572,55
1573,54
1574,45
1575,49
1576,15
1577,68
1578,88
1579,62
1580,48
1581,34
1582,69
1583,34
1584,29
1585,73
1586,69
1587,60
1588,46
1589,54
1590,73
1591,41
1592,52
1593,76
1594,19
1595,54
1596,45
1597,49
1598,60
1599,79
1600,68
1601,31
1602,40
1603,24
1604,22
1605,63
1606,15
1607,22
1608,42
1609,21
1610,71
1611,45
1612,36
1613,42
1614,42
1615,73
1616,57
1617,17
1618,17
1619,26
1620,51
1621,39
1622,51
1623,90
1624,47
1625,43
1626,20
1627,36
1628,64
1629,47
1630,26
1631,22
1632,63
1633,17
1634,23
1635,53
1636,52
1637,18
1638,82
1639,69
1640,25
1641,36
1642,76
1643,92
1644,27
1645,28
1646,56
1647,41
1648,36
1649,84
1650,16
1651,52
1652,22
1653,54
1654,19
1655,29
1656,23
1657,82
1658,27
1659,76
1660,22
1661,67
1662,21
1663,72
1664,23
1665,57
1666,19
1667,52
1668,31
1669,30
1670,23
1671,16
1672,19
1673,45
1674,26
1675,17
1676,50
1677,35
1678,78
1679,18
1680,48
1681,27
1682,25
1683,29
1684,66
1685,22
1686,26
1687,16
1688,25
1689,58
1690,17
1691,52
1692,29
1693,63
1694,69
1695,69
1696,70
1697,73
1698,50
1699,21
1700,27
1701,25
1702,30
1703,62
1704,23
1705,22
1706,45
1707,66
1708,52
1709,32
1710,34
1711,30
1712,41
1713,19
1714,27
1715,13
1716,36
1717,11
1718,12
1719,47
1720,81
1721,40
1722,82
1723,86
1724,45
1725,58
1726,38
1727,46
1728,23
1729,25
1730,75
1731,23
1732,88
1733,57
1734,66
1735,61
1736,87
1737,20
1738,59
1739,63
1740,28
1741,33
1742,28
1743,29
1744,70
1745,45
1746,34
1747,2
1748,0
1749,37
1750,53
1751,94
1752,49
1753,77
1754,37
1755,51
1756,20
1757,51
1758,19
1759,56
1760,15
1761,50
1762,87
1763,90
1764,45
1765,33
1766,36
1767,25
1768,17
1769,14
1770,11
1771,43
1772,40
1773,91
1774,22
1775,87
1776,20
1777,85
1778,69
1779,3
1780,86
1781,81
1782,86
1783,28
1784,74
1785,61
1786,21
1787,20
1788,51
1789,25
1790,26
1791,20
1792,74
1793,19
1794,24
1795,31
1796,65
1797,50
1798,58
1799,43
1800,24
1801,55
1802,22
1803,57
1804,18
1805,68
1806,37
1807,35
1808,82
1809,39
1810,83
1811,38
1812,92
1813,84
1814,22
1815,45
1816,52
1817,48
1818,27
1819,73
1820,80
1821,48
1822,49
1823,17
1824,32
1825,53
1826,45
1827,90
1828,85
1829,51
1830,80
1831,52
1832,19
1833,33
1834,58
1835,68
1836,57
1837,31
1838,31
1839,91
1840,48
1841,89
1842,20
1843,44
1844,20
1845,32
1846,33
1847,29
1848,19
1849,84
1850,33
1851,28
1852,69
1853,65
1854,63
1855,30
1856,64
1857,29
1858,28
1859,46
1860,37
1861,39
1862,22
1863,85
1864,79
1865,59
1866,31
1867,72
1868,83
1869,76
1870,58
1871,27
1872,34
1873,24
1874,76
1875,71
1876,99
1877,68
1878,74
1879,47
1880,73
1881,28
1882,14
1883,71
1884,20
1885,34
1886,36
1887,48
1888,24
1889,66
1890,68
1891,40
1892,59
1893,31
1894,19
1895,66
1896,82
1897,65
1898,61
1899,28
1900,52
1901,73
1902,48
1903,28
1904,43
1905,25
1906,69
1907,20
1908,50
1909,18
1910,20
1911,22
1912,31
1913,51
1914,43
1915,47
1916,55
1917,57
1918,31
1919,61
1920,33
1921,68
1922,71
1923,29
1924,35
1925,50
1926,20
1927,27
1928,21
1929,18
1930,41
1931,15
1932,72
1933,19
1934,75
1935,21
1936,65
1937,48
1938,41
1939,24
1940,25
1941,45
1942,25
1943,24
1944,29
1945,63
1946,21
1947,30
1948,48
1949,64
1950,25
1951,79
1952,4
1953,83
1954,26
1955,68
1956,40
1957,38
1958,1
1959,35
1960,35
1961,58
1962,59
1963,64
1964,9
1965,78
1966,75
1967,65
1968,56
1969,53
1970,60
1971,47
1972,53
1973,48
1974,61
1975,20
1976,56
1977,70
1978,95
1979,80
1980,39
1981,63
1982,35
1983,79
1984,70
1985,70
1986,54
1987,29
1988,52
1989,19
1990,40
1991,25
1992,32
1993,19
1994,35
1995,64
1996,98
1997,80
1998,20
1999,83
2000,77
2001,28
2002,76
2003,47
2004,57
2005,24
2006,58
2007,23
2008,19
2009,24
2010,10
2011,39
2012,26
2013,17
2014,44
2015,6
2016,78
2017,96
2018,52
2019,34
2020,19
2021,24
2022,28
2023,49
2024,30
2025,19
2026,46
2027,17
2028,21
2029,27
2030,87
2031,82
2032,21
2033,38
2034,39
2035,75
2036,45
2037,48
2038,73
2039,25
2040,41
2041,69
2042,73
2043,25
2044,39
2045,68
2046,55
2047,26
2048,72
2049,22
2050,33
2051,29
2052,21
2053,59
2054,62
2055,74
2056,52
2057,77
2058,24
2059,84
2060,44
2061,30
2062,30
2063,35
2064,36
2065,57
2066,100
2067,68
2068,58
2069,63
2070,85
2071,16
2072,55
2073,23
2074,83
2075,30
2076,22
2077,27
2078,72
2079,41
2080,84
2081,20
2082,63
2083,38
2084,8
2085,17
2086,60
2087,18
2088,4
2089,41
2090,27
2091,31
2092,72
2093,85
2094,45
2095,31
2096,27
2097,27
2098,69
2099,45
2100,11
2101,59
2102,21
2103,17
2104,27
2105,23
2106,54
2107,50
2108,28
2109,65
2110,48
2111,86
2112,56
2113,63
2114,50
2115,23
2116,26
2117,51
2118,28
2119,21
2120,89
2121,22
2122,57
2123,19
2124,19
2125,31
2126,23
2127,48
2128,72
2129,76
2130,28
2131,25
2132,18
2133,15
2134,57
2135,69
2136,24
2137,56
2138,32
2139,30
2140,59
2141,62
2142,43
2143,68
2144,10
2145,64
2146,80
2147,22
2148,20
2149,71
2150,61
2151,24
2152,45
2153,22
2154,55
2155,34
2156,15
2157,14
2158,76
2159,63
2160,75
2161,25
2162,66
2163,21
2164,61
2165,54
2166,17
2167,69
2168,57
2169,51
2170,52
2171,38
2172,43
2173,82
2174,76
2175,29
2176,40
2177,12
2178,37
2179,40
2180,35
2181,19
2182,46
2183,61
2184,19
2185,63
2186,63
2187,22
2188,24
2189,57
2190,73
2191,36
2192,30
2193,65
2194,81
2195,18
2196,32
2197,32
2198,29
2199,63
2200,33
2201,69
2202,80
2203,83
2204,26
2205,21
2206,32
2207,37
2208,76
2209,18
2210,49
2211,26
2212,57
2213,48
2214,59
2215,29
2216,56
2217,85
2218,60
2219,42
2220,30
2221,19
2222,46
2223,14
2224,66
2225,21
2226,74
2227,18
2228,54
2229,21
2230,30
2231,38
2232,39
2233,17
2234,52
2235,56
2236,48
2237,22
2238,39
2239,15
2240,80
2241,64
2242,44
2243,22
2244,18
2245,28
2246,28
2247,27
2248,28
2249,71
2250,11
2251,23
2252,47
2253,79
2254,32
2255,25
2256,94
2257,13
2258,48
2259,32
2260,44
2261,27
2262,58
2263,84
2264,49
2265,41
2266,53
2267,85
2268,29
2269,33
2270,14
2271,16
2272,14
2273,15
2274,15
2275,56
2276,17
2277,27
2278,38
2279,24
2280,56
2281,53
2282,56
2283,27
2284,57
2285,46
2286,20
2287,82
2288,62
2289,67
2290,20
2291,88
2292,56
2293,30
2294,19
2295,20
2296,16
2297,37
2298,79
2299,64
2300,84
2301,42
2302,67
2303,74
2304,49
2305,41
2306,32
2307,28
2308,22
2309,61
2310,66
2311,58
2312,19
2313,19
2314,28
2315,27
2316,39
2317,32
2318,39
2319,63
2320,79
2321,70
2322,91
2323,72
2324,62
2325,85
2326,44
2327,35
2328,41
2329,30
2330,32
2331,65
2332,78
2333,64
2334,73
2335,30
2336,19
2337,31
2338,74
2339,21
2340,36
2341,22
2342,21
2343,28
2344,30
2345,62
2346,44
2347,83
2348,1
2349,46
2350,42
2351,63
2352,48
2353,20
2354,68
2355,60
2356,26
2357,59
2358,88
2359,37
2360,83
2361,43
2362,47
2363,64
2364,83
2365,17
2366,38
2367,19
2368,80
2369,18
2370,59
2371,25
2372,0
2373,62
2374,52
2375,40
2376,45
2377,49
2378,86
2379,29
2380,58
2381,45
2382,21
2383,36
2384,23
2385,19
2386,25
2387,71
2388,82
2389,22
2390,43
2391,43
2392,17
2393,18
2394,33
2395,31
2396,57
2397,35
2398,79
2399,81
2400,25
2401,15
2402,49
2403,22
2404,62
2405,53
2406,71
2407,80
2408,82
2409,66
2410,31
2411,48
2412,67
2413,45
2414,85
2415,22
2416,55
2417,29
2418,44
2419,44
2420,65
2421,75
2422,23
2423,54
2424,43
2425,22
2426,32
2427,55
2428,66
2429,48
2430,84
2431,68
2432,63
2433,74
2434,46
2435,57
2436,59
2437,54
2438,13
2439,50
2440,86
2441,68
2442,86
2443,69
2444,29
2445,22
2446,24
2447,81
2448,38
2449,24
2450,33
2451,23
2452,18
2453,64
2454,76
2455,32
2456,19
2457,29
2458,18
2459,43
2460,77
2461,70
2462,71
2463,61
2464,7
2465,50
2466,19
2467,69
2468,28
2469,20
2470,33
2471,34
2472,79
2473,31
2474,44
2475,77
2476,67
2477,76
2478,89
2479,16
2480,37
2481,3
2482,55
2483,38
2484,46
2485,62
2486,62
2487,74
2488,63
2489,15
2490,68
2491,54
2492,4
2493,85
2494,15
2495,21
2496,22
2497,16
2498,58
2499,66
2500,16
2501,64
2502,73
2503,19
2504,28
2505,49
2506,48
2507,53
2508,5
2509,51
2510,50
2511,62
2512,39
2513,42
2514,21
2515,21
2516,35
2517,34
2518,25
2519,64
2520,78
2521,16
2522,70
2523,69
2524,3
2525,39
2526,41
2527,43
2528,42
2529,38
2530,59
2531,65
2532,27
2533,36
2534,53
2535,17
2536,28
2537,17
2538,52
2539,46
2540,19
2541,30
2542,27
2543,24
2544,30
2545,22
2546,23
2547,75
2548,72
2549,77
2550,17
2551,17
2552,72
2553,74
2554,74
2555,63
2556,12
2557,28
2558,80
2559,37
2560,47
2561,36
2562,66
2563,60
2564,80
2565,54
2566,36
2567,81
2568,60
2569,20
2570,34
2571,53
2572,76
2573,84
2574,80
2575,51
2576,16
2577,61
2578,47
2579,18
2580,24
2581,26
2582,31
2583,60
2584,51
2585,89
2586,82
2587,74
2588,25
2589,55
2590,47
2591,63
2592,65
2593,84
2594,25
2595,31
2596,54
2597,19
2598,40
2599,70
2600,68
2601,34
2602,26
2603,85
2604,33
2605,31
2606,21
2607,25
2608,23
2609,17
2610,25
2611,69
2612,49
2613,41
2614,19
2615,60
2616,48
2617,71
2618,59
2619,26
2620,46
2621,51
2622,48
2623,24
2624,19
2625,57
2626,82
2627,62
2628,64
2629,41
2630,34
2631,68
2632,39
2633,23
2634,19
2635,16
2636,32
2637,31
2638,74
2639,74
2640,87
2641,85
2642,31
2643,31
2644,20
2645,61
2646,62
2647,37
2648,24
2649,15
2650,15
2651,26
2652,82
2653,79
2654,92
2655,38
2656,25
2657,22
2658,75
2659,33
2660,21
2661,79
2662,80
2663,62
2664,32
2665,27
2666,81
2667,43
2668,64
2669,26
2670,15
2671,16
2672,21
2673,26
2674,83
2675,23
2676,23
2677,24
2678,28
2679,79
2680,43
2681,64
2682,70
2683,53
2684,55
2685,65
2686,69
2687,28
2688,87
2689,36
2690,20
2691,27
2692,47
2693,47
2694,54
2695,32
2696,82
2697,91
2698,67
2699,45
2700,80
2701,21
2702,19
2703,39
2704,31
2705,44
2706,47
2707,31
2708,68
2709,19
2710,20
2711,16
2712,28
2713,31
2714,28
2715,38
2716,23
2717,40
2718,35
2719,87
2720,67
2721,25
2722,28
2723,22
2724,34
2725,67
2726,32
2727,52
2728,33
2729,33
2730,40
2731,86
2732,93
2733,25
2734,65
2735,25
2736,73
2737,43
2738,38
